bolt_neve,termek_neve,akcio_idotartama,leiras,eredeti_ar,kedvezmenyes_ar,kartyas_e,kartya_tipus,kategoria,kategoria_kod,hierarchiaszint,egyedi_hash
Tesco,Csíkozott friss marhapacal,2026.04.23 - 04.29,"900 g, 2443 Ft/1 kg",2699,2199,False,,Marhahús,16,2,16650d05033a945540b63f26339b1feb89401cf1b788a568e670acf5d87f42b1
SPAR,Royal csirkecomb aszpikban,2026.04.23 - 04.29,a kiszolgálópultban (5.290 Ft/1 kg),529,399,True,Supershop kártyával,Csirkehús,17,2,e0a514a5313663c0ba09a516e0f45b7fcc789173f609f4583a4eb836b4535a52
Tesco,Friss magyar csirkecomb farrésszel,2026.04.23 - 04.29,húspultban kapható,702,649,False,,Csirkehús,17,2,02b76eb70d3feeeb0e33a6a0ccf7d1a315d376ae3404fb3d1bea3948b7bb441b
Tesco,Friss magyar csirkemellfilé,2026.04.23 - 04.29,"500 g, 2098 Ft/1 kg",1151,1049,False,,Csirkehús,17,2,dbb7befcf8a40aaa2d389ad8856fda1bd8aedb5247a91202dee5cc1078646ec4
Tesco,Grill Master csirkemell,2026.04.23 - 04.29,"többféle, 800 g, 3 311 Ft/1 kg, 3124 Ft/1 kg",2649,2499,False,,Csirkehús,17,2,bf42b8358b05bd4beb39d8adf549240a06aaefe52b5f24fdef96b3873cd308b7
SPAR,Darált pulykacombhús,2026.04.23 - 04.29,csomagolt 500 g (2.198 Ft/1 kg),1099,999,True,Supershop kártyával,Pulykahús,18,2,2c01173c95f25c21928acc86dce5af41767a5718a26df365b76d4c946144eb1f
Lidl,PIKOK Sertéskaraj,2026.04.27 - 04.29,100 g; 1 kg = 3390 Ft,379,339,False,,Sertéshús,30,2,9582441da188f08954ef46ec22ee2f3407baf44cd13813fb772a47aceac11b63
SPAR,S-BUDGET karaj,2026.04.23 - 04.29,a kiszolgálópultban (3.990 Ft/1 kg),499,399,False,,Sertéshús,30,2,4704d802941391ae3a59504d3762881ae7981f1dd2c3a2c61205af27ec9dc732
SPAR,Bogádi nyelves disznósajt,2026.04.23 - 04.29,a kiszolgálópultban (3.990 Ft/1 kg),499,399,False,,Sertéshús,30,2,68cc30610818c1915e904ba4b1bc043b4c0348718a16708a4e904ea6074384fd
SPAR,Regnum sertéscomb szeletek,2026.04.23 - 04.29,"szeletelt, csomagolt 200 g (4.495 Ft/1 kg)",1199,899,False,,Sertéshús,30,2,2a3b9bb82701e0333bc61f42e43cc1df211e553cea743fbc82bf566a8ce04079
Lidl,HÚSFARM Friss sertés gulyáshús,2026.04.27 - 04.29,Lapockából | 500 g; 1 kg = 1 798 Ft | 1935,1099,899,False,,Sertéshús,30,2,73d62e1642daff598ec6a6da9067b390c06b70a33a7201ce6cf8b1af56a10791
Tesco,Friss sertéslapocka,2026.04.23 - 04.29,"húspultban kapható | A termék a következő áruházainkban nem kapható: | Budapest: Soroksári út, | vidék: Gyula.",1729,1195,False,,Sertéshús,30,2,f1df4dc6feefc45eb9231bd1402ed48070c331a5f0509d40b0e0f08fb7d1baf8
Tesco,Friss sertéscsülök,2026.04.23 - 04.29,"csont nélkül, húspultban kapható",1999,1599,False,,Sertéshús,30,2,6bbcc1afb7e168a4694d3bf308d4513734b8cb5d4237aa9c15c8c380f371ca42
Auchan,VEGYES PONTYSZELET,2026.04.23 - 04.29,"Ft/kg, halpultban vagy csomagoltan kapható, Cyprinus Carpio, származási hely: Magyarország",4499,3199,True,Bizalomkártyával,Halak és tenger gyümölcsei,60,2,7c5fcfdb91ea2ab605763f5e066a960e990c93cbf707e3003c58af0241aed769
Auchan,Classic CLASSIC HIDEGEN FÜSTÖLT CSENDES-ÓCEÁNI VADLAZAC,2026.04.23 - 04.29,"szeletelt, 100 g, 21390 Ft/kg | Bizalomkártyával: | 16040 Ft/kg",2139,1604,True,Bizalomkártyával,Halak és tenger gyümölcsei,60,2,d54ea2743907a5bb3a2a3cca64dd40e6e1b52cc2361b868e4f1a494b26c301fc
SPAR,Norvég lazacfilé,2026.04.23 - 04.29,csomagolt 4×125 g (9.398 Ft/1 kg),4699,3999,True,Supershop kártyával,Halak és tenger gyümölcsei,60,2,2c30c923a7bbfcef3f7726bd3e5f689f40fabefda04c12a7ca276106ceb4749b
Tesco,SeaFood Hungary főtt garnéla rák*,2026.04.23 - 04.29,"csomagolt, különböző kiszerelésben kapható 6499 Ft/1 kg",689,650,False,,Halak és tenger gyümölcsei,60,2,2da3edaff9d7b75c7967e3cf2dcaf68dc23d291e1392442578e667535ee7cfa1
Tesco,SeaFood Hungary norvég lazacfilé,2026.04.23 - 04.29,"csomagolt, különböző kiszerelésben kapható 6999 Ft/1 kg",799,700,False,,Halak és tenger gyümölcsei,60,2,eed901a2e12a8261124ae00b99d976e7db4d68a7ec05bbd85d18ad8b1c824e8f
SPAR,Classic füstölt lazacfilé,2026.04.23 - 04.29,csomagolt 100 g (19.790 Ft/1 kg),2199,1979,False,,Halak és tenger gyümölcsei,60,2,9bbd2b985ec39b847e82609f7dc3406a76f9477cf7d5f5dcaae244c1b8e9cab1
Tesco,Gran Mare GRAN MARE ALASZKAI TŐKEHALFILÉ,2026.04.23 - 04.28,"gyorsfagyasztott 475 g, 1682 Ft/kg",1239,799,False,,Halak és tenger gyümölcsei,168,2,f34d08c502342a1639c208b6c44291080e4bfa2c158266345c15f4865d1109e9
Tesco,Ripp-Ropp bundásmackó,2026.04.23 - 04.29,1 kg,2289,1799,True,Clubcarddal,Egyéb hús,13,2,18b775fdc7e88b8709d3ac6a4a94d7e326e67e1f0fbb73ca90a01a40876f6b3f
SPAR,Living Foods növényi húshelyettesítő,2026.04.23 - 04.29,"gyorsfagyasztott 400 g (6.497,50 Ft/1 kg)",3299,2599,False,,Egyéb hús,13,2,06a702a10563c33376bcb8bac0a0b770ec9f721acf08e2e4f5f4938a9f4ed4d6
Tesco,Kaiser mix grillkolbász,2026.04.23 - 04.29,210 g,999,899,True,Clubcarddal,Egyéb hús,145,2,7f95599395ecec2f4bceae84cead22ba5fa037425e1a6b04c81b60d6e5651582
Auchan,Privát Hús PRIVÁT HÚS GRILLKOLBÁSZ,2026.04.23 - 04.29,"Ft/csomag, többféle, 240 g, 4163 Ft/kg, 2913 Ft/kg",999,699,False,,Egyéb hús,145,2,0671d1b41c2f9c7e854d5f1e49d59fc797a5760f64a451db819b75ab3fec75c5
Tesco,"Danone Activia Rost mix&go tejalapú készítmény piros gyümölcsös, chia-magos granolával",2026.04.23 - 04.29,"165 g, 3024 Ft/1 kg, Clubcarddal: 2055 Ft/1 kg",499,339,True,Clubcarddal,Joghurt és kefír,38,2,7b480eaff417cce1cd5ef2c9f312b2ad22cd3905cdf781c750529dd485b93f4d
SPAR,Danone Actimel joghurtital,2026.04.23 - 04.29,"4×100 g (2.122,50 Ft/1 kg) 2 db esetén: (1.372,50 Ft/1 kg)",849,549,False,,Joghurt és kefír,38,2,20d4e91f0c6c8fb523b860c40fe28f18da7ad6895259e01a3a5ab6ffc6bdd500
SPAR,Danone Oikos krémjoghurt,2026.04.23 - 04.29,4×125 g (1.398 Ft/1 kg),849,699,False,,Joghurt és kefír,38,2,7ef83d8811fcd88ff21190727843a3a8a8391029fff08781ab6fb6bc82a074aa
Tesco,Arla Apetina feta sajt,2026.04.23 - 04.29,500 g | 4438 Ft/1 kg | Clubcarddal: 3078 Ft/1 kg,2219,1539,True,Clubcarddal,Sajt,39,2,7b6439d7047794efbc2116a93619ff0eec76266bb2a404efd8eb85dcccefa92b
Tesco,Hajdú krémfehér sajt,2026.04.23 - 04.29,400 g | 4498 Ft/1 kg | Clubcarddal: 2998 Ft/1 kg,1799,1199,True,Clubcarddal,Sajt,39,2,7bb773ead48275e9d1f69d89cba201171184363ebbe6b46fcb58c5d3383e985a
Tesco,Hajdú darabolt gouda vagy edami sajt,2026.04.23 - 04.29,500 g | 2998 Ft/1 kg | Clubcarddal: 2398 Ft/1 kg,1499,1199,True,Clubcarddal,Sajt,39,2,96ae753f473ac5ca4dba0bdec620d505387713454b7d8c3f4156bd8f044876df
Tesco,Mizo Anikó sajt,2026.04.23 - 04.29,"csomagolt, különböző kiszerelésben kapható",5890,3499,True,Clubcarddal,Sajt,39,2,7f53e62a27cc6c35cb7ea5bdf336637ed6fd512ca897c95af9be7f2719aeee01
Tesco,"Tihany Friss habosított, laktózmentes szendvicskrém",2026.04.23 - 04.29,"140 g, 5707 Ft/1 kg, Clubcarddal: 4493 Ft/1 kg, laktózmentes",799,629,True,Clubcarddal,Sajt,39,2,4d28f97e9e6d19b7cfd663e04643e04996eb4cfbd7be9007a891ef72d0bb284e
Tesco,Szarvasi grill mozzarella sajt,2026.04.23 - 04.29,"többféle, 150 g, 5327 Ft/1 kg, Clubcarddal: 4593 Ft/1 kg",799,689,True,Clubcarddal,Sajt,39,2,c4442f35b1ed459465cdbc166cc40baa62993bc75b9602a5c36126dd8b639853
Lidl,MILBONA Le Crémeux sajt,2026.04.27 - 04.29,Zsírtartalom: 60% | 200 g; 1 kg = 2 895 Ft,719,579,True,Lidl Plus alkalmazással,Sajt,39,2,dddec27a599b36e3e0f12afd3852913c7eba9ddba523565db8c43ccabf12a5ae
Tesco,Tihany Friss habosított szendvicskrém,2026.04.23 - 04.29,"többféle, 140 g | 5350 Ft/1 kg | Clubcarddal: 3421 Ft/1 kg",749,479,True,Clubcarddal,Sajt,39,2,d77b4ce3555874acffa47b2fa195bc81c71542462626165ab537cbebf22a3823
Tesco,"Lecker ízesített, darabolt gouda sajt*",2026.04.23 - 04.29,"többféle, sajtpultban, változó kiszerelésben kapható | 7990 Ft/1 kg | Clubcarddal: 5990 Ft/1 kg",799,599,True,Clubcarddal,Sajt,39,2,dfd6cfc37a350746836f00136d14c138afaf0e88751cc1273585159cbf5f0466
Tesco,"Galbani Mozzarella Cucina félzsíros, félkemény reszelt mozzarella sajt",2026.04.23 - 04.29,"150 g | 6327 Ft/1 kg | Clubcarddal: 5993 Ft/1 kg | A termék a következő áruházainkban nem kapható: Gyula, Hódmezővásárhely, Kiskunfélegyháza, Ózd, Szentes.",949,899,True,Clubcarddal,Sajt,39,2,04d38d4b6cb90dfdbdae8cf331aede172e195489b62fe4bbfa749e2b2dfde2b8
SPAR,Cheeseland edami és gouda sajt,2026.04.23 - 04.29,az önkiszolgálópultban (1.790 Ft/1 kg),299,179,False,,Sajt,39,2,6c5f062f4cf883f5946ab1b9d819c5498547f174eb15d3635df89e5e45c879b1
ALDI,MILSANI CAMEMBERT SAJT,2026.04.27 - 04.29,125 g/darab | 3 032 Ft/kg | 806300 | laktózmentes,465,379,False,,Sajt,39,2,67e0608ac59c1a2bc53061f4482a627e6e4c8dad6669be8a2f461421b32b1350
SPAR,Szarvasi szeletelt mozzarella sajt,2026.04.23 - 04.29,csomagolt 100 g (4.990 Ft/1 kg),689,499,False,,Sajt,39,2,4789bd447c001f37a19f1bfd2cb70d697966738683fca05042a94f12c721a58e
Auchan,Hajdú HAJDÚ KÖRÖS SAJTKORONG,2026.04.23 - 04.29,"natúr vagy füst ízű, 250 g, 4396 Ft/kg, 2276 Ft/kg",1099,569,False,,Sajt,39,2,f48be1a66f98325a3e5429ab3bc09d0d87b8a4461dda1fd2bf76b76e047fc0c5
SPAR,SPAR füstölt parenyica sajt,2026.04.23 - 04.29,"190 g (3.415,79 Ft/1 kg)",759,649,False,,Sajt,39,2,2db76fff77e0ddbfa1487da2ad7bcfec3e671b045fbcf96d6181e4de46e92ce9
Lidl,MILBONA Grana padano olasz sajt,2026.04.27 - 04.29,16 hónapig érlelt | Zsírtartalom: min 32% | 200 g; 1 kg = 6 495 Ft,1785,1299,False,,Sajt,39,2,6161997c6d0c1f77d11db772234f19b3deb9f73766d9e188f72fd06853084daf
Lidl,HAZÁNK KINCSEI Körözött,2026.04.27 - 04.29,Metélőhagymás / magyaros / csípős | 150 g; 1 kg = 2 127 Ft,469,319,True,Lidl Plus alkalmazással,Vaj/vajkrém/margarin,40,2,f33b3ae2a4cf8b454b001c2b11c89502063523622129844bf1e09826da695764
Tesco,Rama növényi vajalternatíva,2026.04.23 - 04.29,"200 g, 3 210 Ft/1 kg, 2475 Ft/1 kg, vegán",642,495,False,,Vaj/vajkrém/margarin,40,2,68bec67b73ba39fd7e73f889d21487d3d9e5b70713377397d615ff5d7948c16e
SPAR,Lurpak vajkészítmény,2026.04.23 - 04.29,200 g (6.245 Ft/1 kg),1849,1249,False,,Vaj/vajkrém/margarin,40,2,a96e641e52e6a33905ea2d844a7d850f115d7ef16892d81aaf5a99bd54ac78e2
Tesco,Müllermilch tejital,2026.04.23 - 04.29,"többféle, 400 g | 1238 Ft/1 kg | Clubcarddal: 898 Ft/1 kg",495,359,True,Clubcarddal,Tej és tejalapú ital,62,2,cd9149364c3abc73552067c3b8b620439e4b70d5863e2cd018fd34562bd4c738
Tesco,Kuntej Kunsági dobozos ESL tej,2026.04.23 - 04.29,"2,8%, 1 l",329,279,False,,Tej és tejalapú ital,62,2,cc5b80f96a89ddade09347be5dff9cf7010e81b1686ae4854576e994312913d8
SPAR,Tolle UHT tej,2026.04.23 - 04.29,"1,5%-os zsírtartalom 1 l",409,299,False,,Tej és tejalapú ital,62,2,8b7fd0fe5ac54db2070e97b273140ec06254d707e8654f79242396934d35d93f
SPAR,SPAR HAZAI.SZERETEM ESL tej,2026.04.23 - 04.29,"2,8%-os zsírtartalom 1 l",399,349,False,,Tej és tejalapú ital,62,2,dc5f77eed5f06c984aa80658bd73fe8d6eb850787eb686075f0543e390c6d7c3
Tesco,Nádudvari puding,2026.04.23 - 04.29,"többféle, 150 g | 1993 Ft/1 kg | Clubcarddal: 1593 Ft/1 kg",299,239,True,Clubcarddal,Tejdesszert,131,2,59b3a93d5e199a1ff8f5482897e1a9b961498370f9297deba1b1ad48399f3dc4
Tesco,Zott Cremore Duo puding,2026.04.23 - 04.29,"többféle, 190 g | 2100 Ft/1 kg | Clubcarddal: 1574 Ft/1 kg",399,299,True,Clubcarddal,Tejdesszert,131,2,20694f4e05458b9f02b7e0066740e0a63130e786f795eb4212df3f07925b8464
Tesco,Mizo Túró Rudi duo multipack tejcsokival,2026.04.23 - 04.29,5x2x15 g/cs | 5993 Ft/1 kg | Clubcarddal: 4660 Ft/1 kg,899,699,True,Clubcarddal,Tejdesszert,131,2,869d79537c7d42ad0742e49eca34cbfa96bb92890b0bb024ef01f359b28bb907
Tesco,Stay Strong puding,2026.04.23 - 04.29,"többféle, 200 g, 2745 Ft/1 kg, Clubcarddal: 1995 Ft/1 kg, magas fehérjetartalmú, hozzáadott cukrot nem tartalmaz",549,399,True,Clubcarddal,Tejdesszert,131,2,337957d3d828f299807de36dba7bec43184695f44c1a9f0765787a26c62871e2
